,Subject,Age,Gender,Handedness,Shape,Label,Matching,Identity,Morality,Response,Bin,RT_ms,RT_sec,ACC,Country
248,7302,22,female,R,moralOther,moralSelf,Nonmatching,Other,Good,n,3,792,0.792,1,China
249,7302,22,female,R,moralOther,immoralSelf,Nonmatching,Other,Good,n,3,805,0.805,1,China
250,7302,22,female,R,moralOther,immoralOther,Nonmatching,Other,Good,n,4,583,0.583,1,China
251,7302,22,female,R,moralOther,immoralOther,Nonmatching,Other,Good,n,4,626,0.626,1,China
252,7302,22,female,R,moralOther,immoralOther,Nonmatching,Other,Good,n,4,643,0.643,1,China
253,7302,22,female,R,moralOther,immoralSelf,Nonmatching,Other,Good,n,5,670,0.67,1,China
254,7302,22,female,R,moralOther,immoralSelf,Nonmatching,Other,Good,n,5,813,0.813,1,China
255,7302,22,female,R,moralOther,immoralOther,Nonmatching,Other,Good,n,5,842,0.842,1,China
256,7302,22,female,R,moralOther,moralSelf,Nonmatching,Other,Good,n,1,760,0.76,1,China
257,7302,22,female,R,moralOther,moralSelf,Nonmatching,Other,Good,n,1,856,0.856,1,China
258,7302,22,female,R,moralOther,moralSelf,Nonmatching,Other,Good,n,1,857,0.857,1,China
259,7302,22,female,R,moralOther,immoralOther,Nonmatching,Other,Good,n,2,677,0.677,1,China
260,7302,22,female,R,moralOther,immoralOther,Nonmatching,Other,Good,m,2,566,0.566,0,China
261,7302,22,female,R,moralOther,immoralSelf,Nonmatching,Other,Good,n,2,655,0.655,1,China
262,7302,22,female,R,moralOther,immoralOther,Nonmatching,Other,Good,n,3,837,0.837,1,China
263,7302,22,female,R,moralOther,immoralSelf,Nonmatching,Other,Good,n,3,753,0.753,1,China
264,7302,22,female,R,moralOther,immoralSelf,Nonmatching,Other,Good,n,3,845,0.845,1,China
265,7302,22,female,R,moralOther,moralSelf,Nonmatching,Other,Good,n,4,733,0.733,1,China
266,7302,22,female,R,moralOther,moralSelf,Nonmatching,Other,Good,n,4,752,0.752,1,China
267,7302,22,female,R,moralOther,immoralOther,Nonmatching,Other,Good,n,4,646,0.646,1,China
268,7302,22,female,R,moralOther,immoralSelf,Nonmatching,Other,Good,n,5,716,0.716,1,China
269,7302,22,female,R,moralOther,immoralOther,Nonmatching,Other,Good,n,5,629,0.629,1,China
270,7302,22,female,R,moralOther,moralSelf,Nonmatching,Other,Good,n,5,681,0.681,1,China
271,7302,22,female,R,immoralSelf,immoralOther,Nonmatching,Self,Bad,m,1,756,0.756,0,China
272,7302,22,female,R,immoralSelf,moralOther,Nonmatching,Self,Bad,n,1,695,0.695,1,China
273,7302,22,female,R,immoralSelf,moralSelf,Nonmatching,Self,Bad,n,1,960,0.96,1,China
