,Subject,Gender,Age,Matching,Origin_Identity,English_Identity,Identity,Mood,Arouse,Valence,Session,RT_ms,RT_sec,ACC,Country
7417,30,female,18,Matching,Familiar,Familiar,Close,anxious,5,3,S2,767,0.767,1,China
7418,30,female,18,Matching,Familiar,Familiar,Close,anxious,5,3,S2,772,0.772,1,China
7419,30,female,18,Matching,Familiar,Familiar,Close,anxious,5,3,S2,579,0.579,1,China
7420,30,female,18,Matching,Familiar,Familiar,Close,anxious,5,3,S2,834,0.834,1,China
7421,30,female,18,Matching,Familiar,Familiar,Close,anxious,5,3,S2,339,0.339,1,China
7422,30,female,18,Matching,Familiar,Familiar,Close,anxious,5,3,S2,385,0.385,1,China
7423,30,female,18,Matching,Familiar,Familiar,Close,serenity,3,7,S3,523,0.523,1,China
7424,30,female,18,Matching,Familiar,Familiar,Close,serenity,3,7,S3,413,0.413,1,China
7425,30,female,18,Matching,Familiar,Familiar,Close,serenity,3,7,S3,600,0.6,1,China
7426,30,female,18,Matching,Familiar,Familiar,Close,serenity,3,7,S3,529,0.529,1,China
7427,30,female,18,Matching,Familiar,Familiar,Close,serenity,3,7,S3,494,0.494,1,China
7428,30,female,18,Matching,Familiar,Familiar,Close,serenity,3,7,S3,702,0.702,1,China
7429,30,female,18,Matching,Familiar,Familiar,Close,serenity,3,7,S3,780,0.78,1,China
7430,30,female,18,Matching,Familiar,Familiar,Close,serenity,3,7,S3,353,0.353,1,China
7431,30,female,18,Matching,Familiar,Familiar,Close,serenity,3,7,S3,645,0.645,0,China
7432,30,female,18,Matching,Familiar,Familiar,Close,serenity,3,7,S3,556,0.556,1,China
7433,30,female,18,Matching,Familiar,Familiar,Close,serenity,3,7,S3,493,0.493,1,China
7434,30,female,18,Matching,Familiar,Familiar,Close,serenity,3,7,S3,550,0.55,1,China
7435,30,female,18,Matching,Familiar,Familiar,Close,serenity,3,7,S3,473,0.473,1,China
7436,30,female,18,Matching,Familiar,Familiar,Close,serenity,3,7,S3,541,0.541,1,China
7437,30,female,18,Matching,Familiar,Familiar,Close,serenity,3,7,S3,537,0.537,0,China
7438,30,female,18,Matching,Familiar,Familiar,Close,serenity,3,7,S3,440,0.44,1,China
7439,30,female,18,Matching,Familiar,Familiar,Close,serenity,3,7,S3,639,0.639,1,China
7440,30,female,18,Matching,Familiar,Familiar,Close,serenity,3,7,S3,557,0.557,0,China
7441,30,female,18,Matching,Familiar,Familiar,Close,serenity,3,7,S3,575,0.575,1,China
7442,30,female,18,Matching,Familiar,Familiar,Close,serenity,3,7,S3,409,0.409,0,China
7443,30,female,18,Matching,Familiar,Familiar,Close,serenity,3,7,S3,456,0.456,1,China
7444,30,female,18,Matching,Familiar,Familiar,Close,serenity,3,7,S3,641,0.641,1,China
7445,30,female,18,Matching,Familiar,Familiar,Close,serenity,3,7,S3,555,0.555,1,China
7446,30,female,18,Matching,Familiar,Familiar,Close,serenity,3,7,S3,494,0.494,1,China
7447,30,female,18,Matching,Familiar,Familiar,Close,depression,5,6,S4,766,0.766,1,China
7448,30,female,18,Matching,Familiar,Familiar,Close,depression,5,6,S4,396,0.396,1,China
7449,30,female,18,Matching,Familiar,Familiar,Close,depression,5,6,S4,543,0.543,1,China
7450,30,female,18,Matching,Familiar,Familiar,Close,depression,5,6,S4,749,0.749,1,China
7451,30,female,18,Matching,Familiar,Familiar,Close,depression,5,6,S4,445,0.445,1,China
7452,30,female,18,Matching,Familiar,Familiar,Close,depression,5,6,S4,571,0.571,1,China
7453,30,female,18,Matching,Familiar,Familiar,Close,depression,5,6,S4,253,0.253,0,China
7454,30,female,18,Matching,Familiar,Familiar,Close,depression,5,6,S4,601,0.601,1,China
7455,30,female,18,Matching,Familiar,Familiar,Close,depression,5,6,S4,311,0.311,1,China
7456,30,female,18,Matching,Familiar,Familiar,Close,depression,5,6,S4,464,0.464,1,China
7457,30,female,18,Matching,Familiar,Familiar,Close,depression,5,6,S4,607,0.607,1,China
7458,30,female,18,Matching,Familiar,Familiar,Close,depression,5,6,S4,644,0.644,1,China
7459,30,female,18,Matching,Familiar,Familiar,Close,depression,5,6,S4,633,0.633,1,China
7460,30,female,18,Matching,Familiar,Familiar,Close,depression,5,6,S4,496,0.496,1,China
7461,30,female,18,Matching,Familiar,Familiar,Close,depression,5,6,S4,405,0.405,1,China
7462,30,female,18,Matching,Familiar,Familiar,Close,depression,5,6,S4,324,0.324,1,China
7463,30,female,18,Matching,Familiar,Familiar,Close,depression,5,6,S4,470,0.47,0,China
7464,30,female,18,Matching,Familiar,Familiar,Close,depression,5,6,S4,331,0.331,1,China
7465,30,female,18,Matching,Familiar,Familiar,Close,depression,5,6,S4,461,0.461,0,China
7466,30,female,18,Matching,Familiar,Familiar,Close,depression,5,6,S4,528,0.528,1,China
7467,30,female,18,Matching,Familiar,Familiar,Close,depression,5,6,S4,808,0.808,1,China
7468,30,female,18,Matching,Familiar,Familiar,Close,depression,5,6,S4,798,0.798,1,China
7469,30,female,18,Matching,Familiar,Familiar,Close,depression,5,6,S4,629,0.629,0,China
7470,30,female,18,Matching,Self,Self,Self,happy,1,1,S1,644,0.644,0,China
7471,30,female,18,Matching,Self,Self,Self,happy,1,1,S1,584,0.584,1,China
7472,30,female,18,Matching,Self,Self,Self,happy,1,1,S1,600,0.6,1,China
7473,30,female,18,Matching,Self,Self,Self,happy,1,1,S1,537,0.537,1,China
7474,30,female,18,Matching,Self,Self,Self,happy,1,1,S1,290,0.29,1,China
7475,30,female,18,Matching,Self,Self,Self,happy,1,1,S1,474,0.474,1,China
7476,30,female,18,Matching,Self,Self,Self,happy,1,1,S1,432,0.432,1,China
7477,30,female,18,Matching,Self,Self,Self,happy,1,1,S1,718,0.718,1,China
7478,30,female,18,Matching,Self,Self,Self,happy,1,1,S1,610,0.61,1,China
